record id,contact id,meeting date,survey status
zcrm_320802604325254432,zcrm_042136841072605108,09/03/2025 18:36,call 1
zcrm_738159058472913918,zcrm_181557237270304223,14/02/2025 22:38,survey completed
zcrm_445390799821686267,zcrm_904235033314618219,30/01/2025 18:46,survey failed
zcrm_196559075229783826,zcrm_315745185925721556,17/09/2024 00:59,call 3
zcrm_374945616101533499,zcrm_681686097978267040,06/04/2025 19:47,call 4
zcrm_265136049949762880,zcrm_041300893630610318,11/02/2025 04:53,call 5
zcrm_488162421995437440,zcrm_853252287190323843,03/01/2025 03:52,call 3
zcrm_848381280683310195,zcrm_485483644328410327,18/08/2025 05:24,call 1
zcrm_077261665881477970,zcrm_545493773636510815,19/05/2025 20:56,call 3
zcrm_332181109494945291,zcrm_603272247524753723,27/01/2025 13:20,survey completed
zcrm_163568800495769018,zcrm_712303455166823849,19/02/2025 04:44,call 2
zcrm_614798143340237632,zcrm_675739310479478896,30/07/2025 20:10,call 1
zcrm_940002598006916306,zcrm_742370024836904108,15/09/2025 04:41,call 4
zcrm_262827963094086314,zcrm_998310548859721315,20/08/2024 08:10,call 2
zcrm_717094506303857767,zcrm_247627918809860972,01/09/2024 20:24,call 3
zcrm_075137762453789566,zcrm_621931709304339199,03/09/2024 05:41,call 2
zcrm_843495602450991454,zcrm_876330232462131722,22/08/2025 14:54,call 1
zcrm_382163399928962341,zcrm_725095963348860770,07/11/2024 07:35,call 2
zcrm_622744931153214688,zcrm_471668685276452168,20/07/2024 08:08,call 5
zcrm_353937301964828625,zcrm_578195288799909336,16/01/2025 11:17,call 2
zcrm_559316210994592541,zcrm_291904874285322720,04/03/2025 03:58,call 2
zcrm_841346391915799033,zcrm_720393056363510361,07/06/2025 16:19,call 3
zcrm_121431556442640060,zcrm_832228648752137202,23/05/2025 05:21,call 3
zcrm_935276979097531378,zcrm_450060454985475473,04/04/2025 03:44,call 5
zcrm_396713012587732374,zcrm_255941816191243354,07/11/2024 04:18,call 3
zcrm_513079705693571596,zcrm_994350005142628984,01/07/2024 02:50,survey failed
zcrm_271624060170900387,zcrm_337692004594939925,06/10/2024 06:45,call 1
zcrm_482810354479738026,zcrm_977565195746602469,06/09/2025 23:20,survey completed
zcrm_037758981116247735,zcrm_206923467613720174,31/08/2024 22:16,survey failed
zcrm_090116112957275054,zcrm_426275814836329446,13/09/2024 15:17,call 3
zcrm_772837877770308669,zcrm_076649435179625745,21/12/2024 16:17,survey failed
zcrm_320383001773554632,zcrm_205068258146737924,23/06/2025 09:11,call 4
zcrm_435163543367836231,zcrm_279591924381698986,26/01/2025 14:42,call 4
zcrm_459418105731648836,zcrm_289138635803740574,12/06/2025 17:10,call 2
zcrm_371142417042440146,zcrm_437386499764875952,31/12/2024 02:34,call 5
zcrm_619990158256092761,zcrm_078705217288981853,03/08/2025 08:10,call 2
zcrm_067922956434100706,zcrm_992128915505873825,04/07/2025 04:27,call 3
zcrm_055286669151773210,zcrm_588364396566800379,11/06/2025 11:58,survey completed
zcrm_299362394825394230,zcrm_835951665512647583,02/01/2025 22:43,call 2
zcrm_940189131265468846,zcrm_518240658081047356,13/02/2025 20:41,call 3
zcrm_838648716017489498,zcrm_925289198660403489,09/08/2025 14:46,call 5
zcrm_837590459995975678,zcrm_437424685094369580,16/09/2024 02:54,call 3
zcrm_927568829526011788,zcrm_139315316841433384,10/12/2024 02:37,call 4
zcrm_808531771815138201,zcrm_887816060813394267,22/05/2025 23:35,survey completed
zcrm_010185680822124562,zcrm_369400466827933213,06/10/2024 14:26,call 3
zcrm_933225949744788989,zcrm_107039150142885007,20/08/2025 05:43,call 2
zcrm_290880432579600402,zcrm_528648220487451699,14/05/2025 01:28,call 5
